?R?Start
  output soll -->  0 = 0.00       -  1 = 1.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  12

  output_wert -->  0 = 0.13582    -  1 = 0.33384    -  2 = 0.51995    -  3 = 0.16485    -  4 = 0.00285    -   out -> 2
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 1.00       -  3 = 0.00       -  4 = 0.00       -  13

  output_wert -->  0 = 0.21902    -  1 = 0.20388    -  2 = 0.05464    -  3 = 0.21922    -  4 = 0.10433    -   out -> 3
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 1.00       -  4 = 0.00       -  14

  output_wert -->  0 = 0.26977    -  1 = 0.12367    -  2 = 0.00792    -  3 = 0.23914    -  4 = 0.53154    -   out -> 4
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 1.00       -  15

  output_wert -->  0 = 0.23000    -  1 = 0.18488    -  2 = 0.03655    -  3 = 0.22454    -  4 = 0.16070    -   out -> 0
  output soll -->  0 = 1.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  16

  output_wert -->  0 = 0.17453    -  1 = 0.27892    -  2 = 0.22354    -  3 = 0.19395    -  4 = 0.01610    -   out -> 1
  output soll -->  0 = 0.00       -  1 = 1.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  17

  output_wert -->  0 = 0.08697    -  1 = 0.36382    -  2 = 0.86595    -  3 = 0.11807    -  4 = 0.00023    -   out -> 2
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 1.00       -  3 = 0.00       -  4 = 0.00       -  18

  output_wert -->  0 = 0.23589    -  1 = 0.17560    -  2 = 0.02966    -  3 = 0.22675    -  4 = 0.19747    -   out -> 0
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 1.00       -  4 = 0.00       -  19

  output_wert -->  0 = 0.27546    -  1 = 0.11606    -  2 = 0.00631    -  3 = 0.24087    -  4 = 0.59473    -   out -> 4
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 1.00       -  20

  output_wert -->  0 = 0.20302    -  1 = 0.23102    -  2 = 0.09392    -  3 = 0.21139    -  4 = 0.05483    -   out -> 1
  output soll -->  0 = 1.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  21

  output_wert -->  0 = 0.15127    -  1 = 0.31364    -  2 = 0.39084    -  3 = 0.17730    -  4 = 0.00577    -   out -> 2
  output soll -->  0 = 0.00       -  1 = 1.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  22

  output_wert -->  0 = 0.09335    -  1 = 0.36457    -  2 = 0.83148    -  3 = 0.12487    -  4 = 0.00034    -   out -> 2
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 1.00       -  3 = 0.00       -  4 = 0.00       -  23

  output_wert -->  0 = 0.21388    -  1 = 0.21286    -  2 = 0.06555    -  3 = 0.21678    -  4 = 0.08479    -   out -> 3
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 1.00       -  4 = 0.00       -  24

  output_wert -->  0 = 0.28657    -  1 = 0.10210    -  2 = 0.00402    -  3 = 0.24399    -  4 = 0.70843    -   out -> 4
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 1.00       -  25

----------------------------------------------------------------------------------err-6.91119 -- winrate 0.24736
  output_wert -->  0 = 0.27195    -  1 = 0.09325    -  2 = 0.00385    -  3 = 0.23743    -  4 = 0.62573    -   out -> 4
  output soll -->  0 = 1.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  1

  output_wert -->  0 = 0.19878    -  1 = 0.30567    -  2 = 0.13628    -  3 = 0.22234    -  4 = 0.01912    -   out -> 1
  output soll -->  0 = 0.00       -  1 = 1.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  2

  output_wert -->  0 = 0.18441    -  1 = 0.33482    -  2 = 0.20598    -  3 = 0.21240    -  4 = 0.01016    -   out -> 1
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 1.00       -  3 = 0.00       -  4 = 0.00       -  3

  output_wert -->  0 = 0.23797    -  1 = 0.19805    -  2 = 0.02916    -  3 = 0.23909    -  4 = 0.13172    -   out -> 3
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 1.00       -  4 = 0.00       -  4

  output_wert -->  0 = 0.30391    -  1 = 0.03151    -  2 = 0.00031    -  3 = 0.22133    -  4 = 0.96652    -   out -> 4
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 1.00       -  5

  output_wert -->  0 = 0.25585    -  1 = 0.14053    -  2 = 0.01098    -  3 = 0.24056    -  4 = 0.33043    -   out -> 4
  output soll -->  0 = 1.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  6

  output_wert -->  0 = 0.18890    -  1 = 0.32581    -  2 = 0.18224    -  3 = 0.21566    -  4 = 0.01236    -   out -> 1
  output soll -->  0 = 0.00       -  1 = 1.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  7

